"ID","ESTADO_PROC","CANT_PROD","CANT_A_PROD","PLACA","PLACAS_USADAS","PLACAS_BUENAS","PLACAS_MALAS","TIEMPO_TOTAL","NUMERO_PERSONAS","STOCK","USER","STOCK_CANT","despunte"
2274,LISTO,0,5000,,,,,,0,,,0,0
2275,LISTO,5000,0,[],[],[],[],,4,,raul espindola,0,0
2277,PENDIENTE,0,400,,,,,,0,,,0,0
2283,PENDIENTE,0,100,,,,,,0,,,0,0
2287,PENDIENTE,0,43000,,,,,,0,,,0,0
2288,PENDIENTE,0,43000,,,,,,0,,,0,0
2297,PENDIENTE,0,100,,,,,,0,,,0,0
2298,PENDIENTE,0,100,,,,,,0,,,0,0
2299,PENDIENTE,0,100,,,,,,0,,,0,0
2302,PENDIENTE,0,100,,,,,,0,,,0,0
2304,LISTO,100,0,[],[],[],[],,2,,Carlos Muller,0,0
2307,PENDIENTE,0,100,,,,,,0,,,0,0
2308,LISTO,100,0,"[""PLACA 2500*1730 C20""]",[103],[100],[3],,2,,Carlos Muller,0,0
2311,PENDIENTE,0,3000,,,,,,0,,,0,0
2314,PENDIENTE,0,3000,,,,,,0,,,0,0
2315,LISTO,3000,0,"[""PLACA 1100*780 09B""]",[1609],[1600],[9],,2,,Carlos Muller,0,0
2316,LISTO,3000,0,[],[],[],[],,4,,Carlos Muller,0,0
2319,PENDIENTE,0,2000,,,,,,0,,,0,0
2322,PENDIENTE,0,1100,,,,,,0,,,0,0
2324,PENDIENTE,0,1100,,,,,,0,,,0,0
2327,PENDIENTE,0,150,,,,,,0,,,0,0
2328,PENDIENTE,0,150,,,,,,0,,,0,0
2329,PENDIENTE,0,150,,,,,,0,,,0,0
2332,PENDIENTE,0,150,,,,,,0,,,0,0
2333,PENDIENTE,0,150,,,,,,0,,,0,0
2334,PENDIENTE,300,0,"[""PLACA 2700*1570 C20""]",[166],[155],[11],,1,,Matias Muller,0,0
2336,PENDIENTE,0,150,,,,,,0,,,0,0
2337,PENDIENTE,0,150,,,,,,0,,,0,0
2338,PENDIENTE,0,150,,,,,,0,,,0,0
2341,PENDIENTE,0,150,,,,,,0,,,0,0
2342,PENDIENTE,0,150,,,,,,0,,,0,0
2343,LISTO,900,0,"[""PLACA 2700*1570 C20""]",[648],[630],[18],,2,,Carlos Muller,0,0
2346,PENDIENTE,0,100,,,,,,0,,,0,0
2349,PENDIENTE,0,100,,,,,,0,,,0,0
2351,PENDIENTE,250,170,"[""PLACA 1100*780 09B""]",[441],[440],[1],,2,,Carlos Muller,0,0
2353,PENDIENTE,0,420,,,,,,0,,,0,0
2358,PENDIENTE,0,5000,,,,,,0,,,0,0
2359,PENDIENTE,0,2000,,,,,,0,,,0,0
2360,LISTO,2000,0,"[""PLACA 950*780 09B""]",[2171],[2160],[11],,2,,Carlos Muller,0,0
2361,LISTO,2000,0,[],[],[],[],,4,,Carlos Muller,0,0
2364,PENDIENTE,0,2000,,,,,,0,,,0,0
2366,LISTO,3807,0,[],[],[],[],,4,Add,Carlos Muller,400,0
2367,PENDIENTE,0,3607,,,,,,0,,,0,0
2368,LISTO,3607,0,"[""PLACA 950*780 09B""]",[3610],[3607],[3],,2,,Carlos Muller,0,0
2369,LISTO,2000,0,[],[],[],[],,4,,Carlos Muller,0,0
2370,PENDIENTE,0,2000,,,,,,0,,,0,0
2371,LISTO,2000,0,"[""PLACA 950*780 09B""]",[2015],[2000],[15],,2,,Carlos Muller,0,0
2372,PENDIENTE,0,210,,,,,,0,,,0,0
2373,PENDIENTE,0,210,,,,,,0,,,0,0
2374,PENDIENTE,0,210,,,,,,0,,,0,0
2377,LISTO,30,0,"[""PLACA 2515*2145 D94""]",[17],[15],[2],,2,,Carlos Muller,0,0
2378,PENDIENTE,0,30,,,,,,0,,,0,0
2379,PENDIENTE,0,30,,,,,,0,,,0,0
2381,PENDIENTE,0,72,,,,,,0,,,0,0
2384,PENDIENTE,0,30,,,,,,0,,,0,0
2386,PENDIENTE,0,450,,,,,,0,,,0,0
2389,LISTO,400,0,"[""PLACA 1100*780 09B""]",[505],[500],[5],,2,,Carlos Muller,0,0
2390,PENDIENTE,0,400,,,,,,0,,,0,0
2391,PENDIENTE,0,400,,,,,,0,,,0,0
2393,PENDIENTE,0,1000,,,,,,0,,,0,0
2394,LISTO,1000,0,"[""PLACA 1100*780 09B""]",[1005],[1000],[5],,2,,Carlos Muller,0,0
2395,PENDIENTE,0,1000,,,,,,0,,,0,0
2398,PENDIENTE,0,4000,,,,,,0,,,0,0
2399,LISTO,4000,0,"[""PLACA 950*780 09B""]",[4809],[4800],[9],,2,,Carlos Muller,0,0
2400,PENDIENTE,3000,1000,[],[],[],[],,4,,Carlos Muller,0,0
2402,PENDIENTE,0,2,,,,,,0,,,0,0
2408,PENDIENTE,0,1,,,,,,0,,,0,0
2413,PENDIENTE,0,1000,,,,,,0,,,0,0
2415,PENDIENTE,0,1000,,,,,,0,,,0,0
2416,PENDIENTE,0,1000,,,,,,0,,,0,0
2417,LISTO,1000,0,"[""PLACA 950*780 09B""]",[1009],[1000],[9],,2,,Carlos Muller,0,0
2418,PENDIENTE,0,6000,,,,,,0,,,0,0
2419,LISTO,6000,0,"[""PLACA 1100*780 09B""]",[6012],[6000],[12],,2,,Carlos Muller,0,0
2420,PENDIENTE,0,6000,,,,,,0,,,0,0
2422,PENDIENTE,0,500,,,,,,0,,,0,0
2423,LISTO,500,0,"[""PLACA 1100*780 09B""]",[508],[500],[8],,2,,Carlos Muller,0,0
2424,PENDIENTE,0,500,,,,,,0,,,0,0
2427,LISTO,500,0,"[""PLACA 2515*2145 D94""]",[117],[115],[2],,2,,Carlos Muller,0,0
2428,PENDIENTE,0,500,,,,,,0,,,0,0
2429,PENDIENTE,0,500,,,,,,0,,,0,0
2430,PENDIENTE,0,500,,,,,,0,,,0,0
2431,PENDIENTE,0,500,,,,,,0,,,0,0
2432,PENDIENTE,0,500,,,,,,0,,,0,0
2433,PENDIENTE,0,3000,,,,,,0,,,0,0
2434,PENDIENTE,0,3000,,,,,,0,,,0,0
2436,LISTO,3000,0,"[""PLACA 1100*780 09B""]",[3010],[3000],[10],,2,,Carlos Muller,0,0
2437,PENDIENTE,0,600,,,,,,0,,,0,0
2438,PENDIENTE,0,600,,,,,,0,,,0,0
2439,LISTO,600,0,"[""PLACA 950*780 10E""]",[643],[630],[13],,2,,Carlos Muller,0,0
2440,PENDIENTE,0,3000,,,,,,0,,,0,0
2441,PENDIENTE,0,3000,,,,,,0,,,0,0
2442,LISTO,3000,0,"[""PLACA 950*780 10E""]",[3009],[3000],[9],,2,,Carlos Muller,0,0
2443,PENDIENTE,0,50,,,,,,0,,,0,0
2444,LISTO,80,0,"[""PLACA 2800*2145 D92""]",[85],[80],[5],,2,,Carlos Muller,0,0
2445,PENDIENTE,0,600,,,,,,0,,,0,0
2446,PENDIENTE,0,600,,,,,,0,,,0,0
2447,LISTO,600,0,[],[],[],[],,2,,Carlos Muller,0,0
2448,PENDIENTE,0,600,,,,,,0,,,0,0
2449,PENDIENTE,0,600,,,,,,0,,,0,0
2450,PENDIENTE,0,600,,,,,,0,,,0,0
2451,PENDIENTE,0,600,,,,,,0,,,0,0
2452,PENDIENTE,0,600,,,,,,0,,,0,0
2453,PENDIENTE,0,400,,,,,,0,,,0,0
2454,PENDIENTE,0,400,,,,,,0,,,0,0
2455,PENDIENTE,0,400,,,,,,0,,,0,0
2456,PENDIENTE,0,400,,,,,,0,,,0,0
2457,PENDIENTE,0,400,,,,,,0,,,0,0
2458,LISTO,400,0,"[""PLACA 2800*2145 C20"",""PLACA 2700*1570 C20""]","[286,286]","[280,280]","[6,6]",,2,,Carlos Muller,0,0
2459,LISTO,500,0,[],[],[],[],,2,,nicolas tordesilla,0,0
2460,PENDIENTE,0,500,,,,,,0,,,0,0
2461,PENDIENTE,0,500,,,,,,0,,,0,0
2462,PENDIENTE,0,500,,,,,,0,,,0,0
2464,PENDIENTE,0,500,,,,,,0,,,0,0
2465,PENDIENTE,0,500,,,,,,0,,,0,0
2466,PENDIENTE,0,500,,,,,,0,,,0,0
2467,PENDIENTE,0,350,,,,,,0,,,0,0
2468,LISTO,350,0,"[""PLACA 1100*780 09B""]",[120],[114],[6],,2,,"Carlos Muller, Matias Muller, Matias Muller, Carlos Muller, Carlos Muller, Carlos Muller",0,1
2469,LISTO,350,0,[],[],[],[],,4,,raul espindola,0,0
2472,PENDIENTE,0,80,,,,,,0,,,0,0
2473,PENDIENTE,0,40,,,,,,0,,,0,0
2475,PENDIENTE,0,40,,,,,,0,,,0,0
2479,PENDIENTE,0,40,,,,,,0,,,0,0
2480,PENDIENTE,0,40,,,,,,0,,,0,0
2481,PENDIENTE,0,40,,,,,,0,,,0,0
2483,LISTO,180,0,"[""PLACA 1100*780 09B""]",[146],[141],[5],,2,,Matias Muller,0,0
2484,PENDIENTE,0,180,,,,,,0,,,0,0
2485,PENDIENTE,0,180,,,,,,0,,,0,0
2486,PENDIENTE,0,80,,,,,,0,,,0,0
2487,PENDIENTE,0,40,,,,,,0,,,0,0
2489,PENDIENTE,0,40,,,,,,0,,,0,0
2493,PENDIENTE,0,40,,,,,,0,,,0,0
2494,PENDIENTE,0,40,,,,,,0,,,0,0
2495,PENDIENTE,0,40,,,,,,0,,,0,0
2497,PENDIENTE,0,40,,,,,,0,,,0,0
2498,PENDIENTE,0,40,,,,,,0,,,0,0
2499,PENDIENTE,0,120,,,,,,0,,,0,0
2500,PENDIENTE,0,60,,,,,,0,,,0,0
2502,PENDIENTE,0,60,,,,,,0,,,0,0
2505,PENDIENTE,0,60,,,,,,0,,,0,0
2506,PENDIENTE,0,60,,,,,,0,,,0,0
2507,PENDIENTE,0,60,,,,,,0,,,0,0
2509,PENDIENTE,0,500,,,,,,0,,,0,0
2510,PENDIENTE,0,500,,,,,,0,,,0,0
2511,PENDIENTE,0,500,,,,,,0,,,0,0
2513,PENDIENTE,0,5000,,,,,,0,,,0,0
2514,LISTO,5100,0,"[""PLACA 1100*780 09B""]",[5358],[5350],[8],,2,,Carlos Muller,0,0
2515,LISTO,5100,0,[],[],[],[],,4,,Carlos Muller,0,0
2517,PENDIENTE,0,400,,,,,,0,,,0,0
2518,PENDIENTE,0,400,,,,,,0,,,0,0
2519,PENDIENTE,0,400,,,,,,0,,,0,0
2521,PENDIENTE,0,200,,,,,,0,,,0,0
2522,PENDIENTE,0,200,,,,,,0,,,0,0
2528,PENDIENTE,0,1020,,,,,,0,,,0,0
2529,PENDIENTE,0,1020,,,,,,0,,,0,0
2530,LISTO,1020,0,"[""PLACA 1100*780 10E""]",[1950],[1938],[12],,2,,Carlos Muller,0,0
2532,PENDIENTE,0,3100,,,,,,0,,,0,0
2533,PENDIENTE,0,3100,,,,,,0,,,0,0
2534,PENDIENTE,0,3100,,,,,,0,,,0,0
2535,PENDIENTE,0,3100,,,,,,0,,,0,0
2536,LISTO,3100,0,[],[],[],[],,2,,Carlos Muller,0,0
2537,PENDIENTE,0,3100,,,,,,0,,,0,0
2538,LISTO,3500,0,"[""PLACA 1100*780 09B""]",[3911],[3900],[11],,2,,Carlos Muller,0,0
2539,LISTO,4000,0,[],[],[],[],,4,Add,Carlos Muller,1000,0
2540,PENDIENTE,0,3500,,,,,,0,,,0,0
2542,PENDIENTE,0,700,,,,,,0,,,0,0
2543,PENDIENTE,0,700,,,,,,0,,,0,0
2544,PENDIENTE,0,700,,,,,,0,,,0,0
2545,PENDIENTE,0,700,,,,,,0,,,0,0
2546,PENDIENTE,0,1000,,,,,,0,,,0,0
2547,LISTO,1000,0,"[""PLACA 1100*780 10E""]",[1992],[1989],[3],,2,,"Matias Muller, Carlos Muller",0,0
2548,PENDIENTE,0,1000,,,,,,0,,,0,0
2549,PENDIENTE,200,400,"[""PLACA 950*780 09B""]",[246],[240],[6],,2,,Carlos Muller,0,0
2550,PENDIENTE,0,600,,,,,,0,,,0,0
2551,PENDIENTE,0,600,,,,,,0,,,0,0
3532,LISTO,5000,0,[],[],[],[],,4,Remove,Carlos Muller,0,0
3533,PENDIENTE,0,5000,,,,,,0,,,0,0
3534,LISTO,5000,0,"[""PLACA 950*780 09B""]",[5009],[5000],[9],,2,,Carlos Muller,0,0
3535,LISTO,5000,0,[],[],[],[],,4,Remove,Carlos Muller,0,0
3536,PENDIENTE,0,5000,,,,,,0,,,0,0
3537,PENDIENTE,0,5000,,,,,,0,,,0,0
3538,LISTO,5200,0,[],[],[],[],,4,Add,Carlos Muller,400,0
3539,PENDIENTE,0,5000,,,,,,0,,,0,0
3540,PENDIENTE,0,5000,,,,,,0,,,0,0
3541,PENDIENTE,0,5000,,,,,,0,,,0,0
3542,PENDIENTE,0,5000,,,,,,0,,,0,0
3543,LISTO,5000,0,"[""PLACA 950*780 09B""]",[5206],[5200],[6],,2,,Carlos Muller,0,0
3544,PENDIENTE,0,300,,,,,,0,,,0,0
3545,PENDIENTE,0,300,,,,,,0,,,0,0
4532,PENDIENTE,0,20,,,,,,0,,,0,0
4533,PENDIENTE,0,20,,,,,,0,,,0,0
4534,PENDIENTE,0,20,,,,,,0,,,0,0
4535,PENDIENTE,0,20,,,,,,0,,,0,0
4536,PENDIENTE,0,20,,,,,,0,,,0,0
4537,PENDIENTE,0,120,,,,,,0,,,0,0
4538,LISTO,120,0,[],[],[],[],,2,Remove,Carlos Muller,0,0
4539,PENDIENTE,0,120,,,,,,0,,,0,0
5532,LISTO,5099,0,"[""PLACA 950*780 09B""]",[2],[2],[0],,2,Add,Matias Muller,198,1
5533,LISTO,5000,0,[],[],[],[],,4,,raul espindola,0,0
5534,PENDIENTE,0,5000,,,,,,0,,,0,0
5537,PENDIENTE,0,5000,,,,,,0,,,0,0
5538,PENDIENTE,0,5000,,,,,,0,,,0,0
5539,PENDIENTE,0,5000,,,,,,0,,,0,0
6532,PENDIENTE,0,6,,,,,,0,,,0,0
6533,PENDIENTE,0,12,,,,,,0,,,0,0
6537,PENDIENTE,0,12,,,,,,0,,,0,0
6538,PENDIENTE,0,6,,,,,,0,,,0,0
6539,PENDIENTE,0,6,,,,,,0,,,0,0
6542,PENDIENTE,0,6,,,,,,0,,,0,0
6546,PENDIENTE,0,5000,,,,,,0,,,0,0
6547,PENDIENTE,0,5000,,,,,,0,,,0,0
6548,PENDIENTE,0,5000,,,,,,0,,,0,0
7532,PENDIENTE,0,20,,,,,,0,,,0,0
7533,PENDIENTE,0,20,,,,,,0,,,0,0
7534,PENDIENTE,0,20,,,,,,0,,,0,0
7535,PENDIENTE,0,20,,,,,,0,,,0,0
7536,PENDIENTE,0,20,,,,,,0,,,0,0
7537,PENDIENTE,0,2000,,,,,,0,,,0,0
7538,PENDIENTE,0,2000,,,,,,0,,,0,0
7539,PENDIENTE,0,2000,,,,,,0,,,0,0
7541,PENDIENTE,0,20,,,,,,0,,,0,0
8532,PENDIENTE,0,20,,,,,,0,,,0,0
8533,PENDIENTE,0,20,,,,,,0,,,0,0
8534,PENDIENTE,0,20,,,,,,0,,,0,0
8535,PENDIENTE,0,20,,,,,,0,,,0,0
8536,PENDIENTE,0,100,,,,,,0,,,0,0
8537,PENDIENTE,0,100,,,,,,0,,,0,0
8538,PENDIENTE,0,100,,,,,,0,,,0,0
8541,PENDIENTE,0,220,,,,,,0,,,0,0
8542,PENDIENTE,0,220,,,,,,0,,,0,0
8543,PENDIENTE,0,220,,,,,,0,,,0,0
8545,PENDIENTE,0,220,,,,,,0,,,0,0
8547,PENDIENTE,0,440,,,,,,0,,,0,0
8549,PENDIENTE,0,29000,,,,,,0,,,0,0
8550,PENDIENTE,0,29000,,,,,,0,,,0,0
8551,PENDIENTE,0,29000,,,,,,0,,,0,0
8552,PENDIENTE,0,29000,,,,,,0,,,0,0
9532,PENDIENTE,0,2000,,,,,,0,,,0,0
9533,PENDIENTE,0,2000,,,,,,0,,,0,0
9534,PENDIENTE,0,2000,,,,,,0,,,0,0
9535,PENDIENTE,0,2000,,,,,,0,,,0,0
9536,PENDIENTE,0,500,,,,,,0,,,0,0
9537,PENDIENTE,0,500,,,,,,0,,,0,0
9538,PENDIENTE,0,500,,,,,,0,,,0,0
9539,LISTO,5399,0,"[""PLACA 950*780 09B""]",[2],[2],[0],,2,,Matias Muller,0,0
9540,PENDIENTE,0,500,,,,,,0,,,0,0
9541,PENDIENTE,0,500,,,,,,0,,,0,0
9542,PENDIENTE,0,1600,,,,,,0,,,0,0
9545,PENDIENTE,0,14000,,,,,,0,,,0,0
9546,PENDIENTE,0,14000,,,,,,0,,,0,0
9547,PENDIENTE,0,14000,,,,,,0,,,0,0
9548,PENDIENTE,0,14000,,,,,,0,,,0,0
9549,PENDIENTE,0,3000,,,,,,0,,,0,0
9550,PENDIENTE,0,3000,,,,,,0,,,0,0
9551,PENDIENTE,0,3000,,,,,,0,,,0,0
9553,PENDIENTE,0,1000,,,,,,0,,,0,0
9554,PENDIENTE,0,1000,,,,,,0,,,0,0
9556,PENDIENTE,0,40,,,,,,0,,,0,0
9557,PENDIENTE,0,20,,,,,,0,,,0,0
9559,PENDIENTE,0,20,,,,,,0,,,0,0
9562,PENDIENTE,0,20,,,,,,0,,,0,0
9563,PENDIENTE,0,20,,,,,,0,,,0,0
9564,PENDIENTE,0,20,,,,,,0,,,0,0
9566,PENDIENTE,0,200,,,,,,0,,,0,0
9567,PENDIENTE,0,200,,,,,,0,,,0,0
9568,PENDIENTE,0,200,,,,,,0,,,0,0
9570,PENDIENTE,0,200,,,,,,0,,,0,0
9572,LISTO,400,0,[],[],[],[],,2,,Carlos Muller,0,0
9574,PENDIENTE,0,5,,,,,,0,,,0,0
9575,PENDIENTE,0,5,,,,,,0,,,0,0
9576,PENDIENTE,0,5,,,,,,0,,,0,0
9577,PENDIENTE,0,5,,,,,,0,,,0,0
9578,PENDIENTE,0,5,,,,,,0,,,0,0
9579,LISTO,120,0,[],[],[],[],,2,,Carlos Muller,0,0
9580,LISTO,120,0,[],[],[],[],,4,Remove,Carlos Muller,0,0
9581,PENDIENTE,0,120,,,,,,0,,,0,0
9583,PENDIENTE,0,800,,,,,,0,,,0,0
9584,PENDIENTE,0,800,,,,,,0,,,0,0
9585,PENDIENTE,0,800,,,,,,0,,,0,0
9586,PENDIENTE,0,500,,,,,,0,,,0,0
9587,PENDIENTE,0,500,,,,,,0,,,0,0
9588,PENDIENTE,0,500,,,,,,0,,,0,0
9590,PENDIENTE,0,100,,,,,,0,,,0,0
9591,PENDIENTE,0,100,,,,,,0,,,0,0
9592,PENDIENTE,0,100,,,,,,0,,,0,0
9593,PENDIENTE,0,100,,,,,,0,,,0,0
9595,PENDIENTE,0,9322,,,,,,0,,,0,0
9596,PENDIENTE,0,9322,,,,,,0,,,0,0
9597,PENDIENTE,0,9322,,,,,,0,,,0,0
9598,PENDIENTE,0,2070,,,,,,0,,,0,0
9599,PENDIENTE,0,2070,,,,,,0,,,0,0
9600,PENDIENTE,0,2070,,,,,,0,,,0,0
9603,PENDIENTE,0,1990,,,,,,0,,,0,0
9604,PENDIENTE,0,1990,,,,,,0,,,0,0
9605,PENDIENTE,0,1990,,,,,,0,,,0,0
9616,PENDIENTE,0,1000,,,,,,0,,,0,0
9617,PENDIENTE,0,1000,,,,,,0,,,0,0
9618,PENDIENTE,0,1000,,,,,,0,,,0,0
9622,PENDIENTE,0,20,,,,,,0,,,0,0
9623,PENDIENTE,0,20,,,,,,0,,,0,0
9624,PENDIENTE,0,20,,,,,,0,,,0,0
9627,PENDIENTE,0,20,,,,,,0,,,0,0
9628,PENDIENTE,0,5000,,,,,,0,,,0,0
9629,PENDIENTE,0,5000,,,,,,0,,,0,0
9630,PENDIENTE,0,5000,,,,,,0,,,0,0
9659,PENDIENTE,0,10,,,,,,0,,,0,0
9660,PENDIENTE,0,10,,,,,,0,,,0,0
9662,PENDIENTE,0,2,,,,,,0,,,0,0
9663,PENDIENTE,0,60,,,,,,0,,,0,0
9687,PENDIENTE,0,10,,,,,,0,,,0,0
9689,PENDIENTE,0,10,,,,,,0,,,0,0
9712,PENDIENTE,0,10,,,,,,0,,,0,0
9714,PENDIENTE,0,10,,,,,,0,,,0,0
9737,PENDIENTE,0,2,,,,,,0,,,0,0
9767,PENDIENTE,0,200,,,,,,0,,,0,0
9768,PENDIENTE,0,200,,,,,,0,,,0,0
9769,PENDIENTE,0,200,,,,,,0,,,0,0
9772,PENDIENTE,0,200,,,,,,0,,,0,0
9773,PENDIENTE,0,200,,,,,,0,,,0,0
9778,PENDIENTE,0,100,,,,,,0,,,0,0
9869,LISTO,4800,0,[],[],[],[],,4,,Carlos Muller,0,0
9870,PENDIENTE,0,4800,,,,,,0,,,0,0
9871,LISTO,4800,0,"[""PLACA 950*780 09B""]",[9129],[9121],[8],,2,,Carlos Muller,0,0
9873,PENDIENTE,0,350,,,,,,0,,,0,0
9874,PENDIENTE,0,350,,,,,,0,,,0,0
9875,LISTO,350,0,[],[],[],[],,4,,Carlos Muller,0,0
9878,PENDIENTE,0,150,,,,,,0,,,0,0
9879,PENDIENTE,0,150,,,,,,0,,,0,0
9880,PENDIENTE,0,150,,,,,,0,,,0,0
9881,PENDIENTE,0,150,,,,,,0,,,0,0
9882,PENDIENTE,0,150,,,,,,0,,,0,0
9883,PENDIENTE,0,66,,,,,,0,,,0,0
9884,PENDIENTE,0,66,,,,,,0,,,0,0
9885,PENDIENTE,0,66,,,,,,0,,,0,0
9886,PENDIENTE,0,66,,,,,,0,,,0,0
9887,PENDIENTE,0,66,,,,,,0,,,0,0
9888,PENDIENTE,0,66,,,,,,0,,,0,0
9889,PENDIENTE,0,132,,,,,,0,,,0,0
9910,PENDIENTE,0,25,,,,,,0,,,0,0
9911,PENDIENTE,0,25,,,,,,0,,,0,0
9912,PENDIENTE,0,25,,,,,,0,,,0,0
9913,LISTO,25,0,"[""PLACA 2200*2145 D94""]",[20],[20],[0],,2,,Carlos Muller,0,0
9914,PENDIENTE,0,25,,,,,,0,,,0,0
9915,PENDIENTE,0,25,,,,,,0,,,0,0
9916,PENDIENTE,0,50,,,,,,0,,,0,0
9933,PENDIENTE,0,4000,,,,,,0,,,0,0
9934,PENDIENTE,0,4000,,,,,,0,,,0,0
9935,PENDIENTE,0,4000,,,,,,0,,,0,0
9941,PENDIENTE,0,60,,,,,,0,,,0,0
9942,PENDIENTE,0,60,,,,,,0,,,0,0
9945,PENDIENTE,0,60,,,,,,0,,,0,0
9946,PENDIENTE,0,60,,,,,,0,,,0,0
9947,PENDIENTE,0,60,,,,,,0,,,0,0
9951,PENDIENTE,0,60,,,,,,0,,,0,0
9957,PENDIENTE,0,300,,,,,,0,,,0,0
9958,PENDIENTE,0,2,,,,,,0,,,0,0
9959,PENDIENTE,0,2,,,,,,0,,,0,0
9960,PENDIENTE,0,2,,,,,,0,,,0,0
9966,PENDIENTE,0,60,,,,,,0,,,0,0
9967,PENDIENTE,30,30,"[""PLACA 1860*1070 D98"",""PLACA 2330*1070 D98""]","[60,120]","[60,120]","[0,0]",,7,,luis alfaro,0,0
9968,PENDIENTE,40,20,[],[],[],[],,4,,luis alfaro,0,0
9969,PENDIENTE,0,60,,,,,,0,,,0,0
10487,PENDIENTE,0,10,,,,,,0,,,0,0
10497,PENDIENTE,0,10,,,,,,0,,,0,0
10537,PENDIENTE,0,20,,,,,,0,,,0,0
10547,PENDIENTE,0,20,,,,,,0,,,0,0
10557,PENDIENTE,0,20,,,,,,0,,,0,0
10587,PENDIENTE,0,20,,,,,,0,,,0,0
10597,PENDIENTE,0,20,,,,,,0,,,0,0
10607,PENDIENTE,0,20,,,,,,0,,,0,0
10637,PENDIENTE,0,10,,,,,,0,,,0,0
10647,PENDIENTE,0,10,,,,,,0,,,0,0
10657,PENDIENTE,0,10,,,,,,0,,,0,0
10687,PENDIENTE,0,10,,,,,,0,,,0,0
10697,PENDIENTE,0,10,,,,,,0,,,0,0
10707,PENDIENTE,0,10,,,,,,0,,,0,0
10747,PENDIENTE,0,10,,,,,,0,,,0,0
10757,PENDIENTE,0,10,,,,,,0,,,0,0
10777,PENDIENTE,0,10,,,,,,0,,,0,0
10787,PENDIENTE,0,10,,,,,,0,,,0,0
10817,PENDIENTE,0,10,,,,,,0,,,0,0
10827,PENDIENTE,0,10,,,,,,0,,,0,0
10867,PENDIENTE,0,20,,,,,,0,,,0,0
10877,PENDIENTE,0,20,,,,,,0,,,0,0
10887,PENDIENTE,0,20,,,,,,0,,,0,0
10917,PENDIENTE,0,20,,,,,,0,,,0,0
10927,PENDIENTE,0,20,,,,,,0,,,0,0
10937,PENDIENTE,0,20,,,,,,0,,,0,0
10967,PENDIENTE,0,10,,,,,,0,,,0,0
10977,PENDIENTE,0,10,,,,,,0,,,0,0
10987,PENDIENTE,0,10,,,,,,0,,,0,0
11017,PENDIENTE,0,10,,,,,,0,,,0,0
11027,PENDIENTE,0,10,,,,,,0,,,0,0
11037,PENDIENTE,0,10,,,,,,0,,,0,0
11077,PENDIENTE,0,10,,,,,,0,,,0,0
11087,PENDIENTE,0,10,,,,,,0,,,0,0
11107,PENDIENTE,0,10,,,,,,0,,,0,0
11117,PENDIENTE,0,10,,,,,,0,,,0,0
